Year,Counseling & Higher Ed,Educational Studies,Human and Consumer Sciences,Recreation & Sport Pedagogy,Teacher Education
2014-15,563471,401419,416195,1339099,495399
2015-16,408214,463396,401672,1472622,524681
2016-17,183984,517411,475634,1530780,470936
